id;control;cultivar;ano;Quantidade (Kg)
7;br_Patrícia; Patrícia;2010;0
8;br_Perlona; Perlona;2010;10375
9;br_Italia; Italia;2010;0
10;br_Rubi (Itália, Itália Ro); Rubi (Itália, Itália Ro);2010;1200
1;TINTAS;TINTAS;2011;89305
2;ti_ Alphonse Lavallee; Alphonse Lavallee;2011;0
3;ti_ Moscato de Hamburgo; Moscato de Hamburgo;2011;89305
4;BRANCAS;BRANCAS;2011;19458
5;br_Cardinal; Cardinal;2011;0
6;br_Golden Queen; Golden Queen;2011;0
7;br_Patrícia; Patrícia;2011;0
8;br_Perlona; Perlona;2011;5575
9;br_Italia; Italia;2011;0
10;br_Rubi (Itália, Itália Ro); Rubi (Itália, Itália Ro);2011;13883
1;TINTAS;TINTAS;2012;145132
2;ti_ Alphonse Lavallee; Alphonse Lavallee;2012;0
3;ti_ Moscato de Hamburgo; Moscato de Hamburgo;2012;145132
4;BRANCAS;BRANCAS;2012;62564
5;br_Cardinal; Cardinal;2012;0
6;br_Golden Queen; Golden Queen;2012;0
7;br_Patrícia; Patrícia;2012;0
8;br_Perlona; Perlona;2012;9695
9;br_Italia; Italia;2012;0
10;br_Rubi (Itália, Itália Ro); Rubi (Itália, Itália Ro);2012;52869
1;TINTAS;TINTAS;2013;75362
2;ti_ Alphonse Lavallee; Alphonse Lavallee;2013;0
3;ti_ Moscato de Hamburgo; Moscato de Hamburgo;2013;75362
4;BRANCAS;BRANCAS;2013;4412
5;br_Cardinal; Cardinal;2013;0
6;br_Golden Queen; Golden Queen;2013;0
7;br_Patrícia; Patrícia;2013;0
8;br_Perlona; Perlona;2013;3378
9;br_Italia; Italia;2013;0
10;br_Rubi (Itália, Itália Ro); Rubi (Itália, Itália Ro);2013;1034
1;TINTAS;TINTAS;2014;65850
2;ti_ Alphonse Lavallee; Alphonse Lavallee;2014;0
3;ti_ Moscato de Hamburgo; Moscato de Hamburgo;2014;65850
4;BRANCAS;BRANCAS;2014;30600
5;br_Cardinal; Cardinal;2014;0
6;br_Golden Queen; Golden Queen;2014;0
7;br_Patrícia; Patrícia;2014;0
8;br_Perlona; Perlona;2014;850
9;br_Italia; Italia;2014;0
10;br_Rubi (Itália, Itália Ro); Rubi (Itália, Itália Ro);2014;29750
1;TINTAS;TINTAS;2015;108797
2;ti_ Alphonse Lavallee; Alphonse Lavallee;2015;0
3;ti_ Moscato de Hamburgo; Moscato de Hamburgo;2015;108797
4;BRANCAS;BRANCAS;2015;64540
5;br_Cardinal; Cardinal;2015;0
6;br_Golden Queen; Golden Queen;2015;0
7;br_Patrícia; Patrícia;2015;0
8;br_Perlona; Perlona;2015;3280
9;br_Italia; Italia;2015;0
10;br_Rubi (Itália, Itália Ro); Rubi (Itália, Itália Ro);2015;61260
1;TINTAS;TINTAS;2016;51310
2;ti_ Alphonse Lavallee; Alphonse Lavallee;2016;0
3;ti_ Moscato de Hamburgo; Moscato de Hamburgo;2016;51310
4;BRANCAS;BRANCAS;2016;3260
5;br_Cardinal; Cardinal;2016;0
6;br_Golden Queen; Golden Queen;2016;0
7;br_Patrícia; Patrícia;2016;0
8;br_Perlona; Perlona;2016;290
9;br_Italia; Italia;2016;0
10;br_Rubi (Itália, Itália Ro); Rubi (Itália, Itália Ro);2016;2970
1;TINTAS;TINTAS;2017;85510
2;ti_ Alphonse Lavallee; Alphonse Lavallee;2017;0
3;ti_ Moscato de Hamburgo; Moscato de Hamburgo;2017;85510
4;BRANCAS;BRANCAS;2017;5900
5;br_Cardinal; Cardinal;2017;0
6;br_Golden Queen; Golden Queen;2017;0
7;br_Patrícia; Patrícia;2017;0
8;br_Perlona; Perlona;2017;180
9;br_Italia; Italia;2017;0
10;br_Rubi (Itália, Itália Ro); Rubi (Itália, Itália Ro);2017;5720
1;TINTAS;TINTAS;2018;62567
2;ti_ Alphonse Lavallee; Alphonse Lavallee;2018;0
3;ti_ Moscato de Hamburgo; Moscato de Hamburgo;2018;62567
4;BRANCAS;BRANCAS;2018;730
5;br_Cardinal; Cardinal;2018;0
6;br_Golden Queen; Golden Queen;2018;0
7;br_Patrícia; Patrícia;2018;0
8;br_Perlona; Perlona;2018;730
9;br_Italia; Italia;2018;0
10;br_Rubi (Itália, Itália Ro); Rubi (Itália, Itália Ro);2018;0
1;TINTAS;TINTAS;2019;nd
2;ti_ Alphonse Lavallee; Alphonse Lavallee;2019;nd
3;ti_ Moscato de Hamburgo; Moscato de Hamburgo;2019;nd
4;BRANCAS;BRANCAS;2019;nd
5;br_Cardinal; Cardinal;2019;nd
6;br_Golden Queen; Golden Queen;2019;nd
7;br_Patrícia; Patrícia;2019;nd
8;br_Perlona; Perlona;2019;nd
9;br_Italia; Italia;2019;nd
10;br_Rubi (Itália, Itália Ro); Rubi (Itália, Itália Ro);2019;nd
1;TINTAS;TINTAS;2020;63474
2;ti_ Alphonse Lavallee; Alphonse Lavallee;2020;0
3;ti_ Moscato de Hamburgo; Moscato de Hamburgo;2020;63474
4;BRANCAS;BRANCAS;2020;45610
5;br_Cardinal; Cardinal;2020;0
6;br_Golden Queen; Golden Queen;2020;0
7;br_Patrícia; Patrícia;2020;0
8;br_Perlona; Perlona;2020;0
9;br_Italia; Italia;2020;0
10;br_Rubi (Itália, Itália Ro); Rubi (Itália, Itália Ro);2020;45610
1;TINTAS;TINTAS;2021;21732
2;ti_ Alphonse Lavallee; Alphonse Lavallee;2021;0
3;ti_ Moscato de Hamburgo; Moscato de Hamburgo;2021;21732
4;BRANCAS;BRANCAS;2021;52760
5;br_Cardinal; Cardinal;2021;0
6;br_Golden Queen; Golden Queen;2021;0
7;br_Patrícia; Patrícia;2021;0
8;br_Perlona; Perlona;2021;1710
9;br_Italia; Italia;2021;0
10;br_Rubi (Itália, Itália Ro); Rubi (Itália, Itália Ro);2021;51050
1;TINTAS;TINTAS;2022;*
2;ti_ Alphonse Lavallee; Alphonse Lavallee;2022;*
3;ti_ Moscato de Hamburgo; Moscato de Hamburgo;2022;*
4;BRANCAS;BRANCAS;2022;*
5;br_Cardinal; Cardinal;2022;*
6;br_Golden Queen; Golden Queen;2022;*
7;br_Patrícia; Patrícia;2022;*
8;br_Perlona; Perlona;2022;*
9;br_Italia; Italia;2022;*
10;br_Rubi (Itália, Itália Ro); Rubi (Itália, Itália Ro);2022;*
1;TINTAS;TINTAS;2023;175030
2;ti_ Alphonse Lavallee; Alphonse Lavallee;2023;0
3;ti_ Moscato de Hamburgo; Moscato de Hamburgo;2023;175030
4;BRANCAS;BRANCAS;2023;13440
5;br_Cardinal; Cardinal;2023;0
6;br_Golden Queen; Golden Queen;2023;0
7;br_Patrícia; Patrícia;2023;0
8;br_Perlona; Perlona;2023;0
9;br_Italia; Italia;2023;0
10;br_Rubi (Itália, Itália Ro); Rubi (Itália, Itália Ro);2023;13440
