Id;País;ano;Quantidade (Kg)
13;Paraguai;1980;0
14;Portugal;1980;0
15;Panamá;1980;0
16;Reino Unido;1980;0
17;Uruguai;1980;0
18;Venezuela;1980;0
19;Não consta na tabela;1980;0
20;Outros;1980;0
1;Argélia;1981;0
2;Argentina;1981;241000
3;Brasil;1981;0
4;Chile;1981;1423377
5;Colômbia;1981;45880
6;Egito;1981;0
7;Espanha;1981;0
8;Estados Unidos;1981;19523
9;Grécia;1981;90000
10;Itália;1981;0
11;México;1981;0
12;Peru;1981;0
13;Paraguai;1981;0
14;Portugal;1981;0
15;Panamá;1981;0
16;Reino Unido;1981;0
17;Uruguai;1981;0
18;Venezuela;1981;0
19;Não consta na tabela;1981;0
20;Outros;1981;0
1;Argélia;1981;0
2;Argentina;1981;270013
3;Brasil;1981;0
4;Chile;1981;1374551
5;Colômbia;1981;59605
6;Egito;1981;0
7;Espanha;1981;0
8;Estados Unidos;1981;18945
9;Grécia;1981;32000
10;Itália;1981;0
11;México;1981;0
12;Peru;1981;0
13;Paraguai;1981;0
14;Portugal;1981;0
15;Panamá;1981;0
16;Reino Unido;1981;0
17;Uruguai;1981;0
18;Venezuela;1981;0
19;Não consta na tabela;1981;0
20;Outros;1981;0
1;Argélia;1982;0
2;Argentina;1982;1004840
3;Brasil;1982;0
4;Chile;1982;1999116
5;Colômbia;1982;99070
6;Egito;1982;0
7;Espanha;1982;0
8;Estados Unidos;1982;5060
9;Grécia;1982;0
10;Itália;1982;0
11;México;1982;0
12;Peru;1982;0
13;Paraguai;1982;0
14;Portugal;1982;0
15;Panamá;1982;0
16;Reino Unido;1982;0
17;Uruguai;1982;0
18;Venezuela;1982;0
19;Não consta na tabela;1982;0
20;Outros;1982;0
1;Argélia;1982;0
2;Argentina;1982;767208
3;Brasil;1982;0
4;Chile;1982;1798239
5;Colômbia;1982;123176
6;Egito;1982;0
7;Espanha;1982;0
8;Estados Unidos;1982;7590
9;Grécia;1982;0
10;Itália;1982;0
11;México;1982;0
12;Peru;1982;0
13;Paraguai;1982;0
14;Portugal;1982;0
15;Panamá;1982;0
16;Reino Unido;1982;0
17;Uruguai;1982;0
18;Venezuela;1982;0
19;Não consta na tabela;1982;0
20;Outros;1982;0
1;Argélia;1983;0
2;Argentina;1983;1394060
3;Brasil;1983;0
4;Chile;1983;1217488
5;Colômbia;1983;53450
6;Egito;1983;0
7;Espanha;1983;0
8;Estados Unidos;1983;9240
9;Grécia;1983;0
10;Itália;1983;0
11;México;1983;0
12;Peru;1983;0
13;Paraguai;1983;0
14;Portugal;1983;0
15;Panamá;1983;0
16;Reino Unido;1983;0
17;Uruguai;1983;0
18;Venezuela;1983;0
19;Não consta na tabela;1983;0
20;Outros;1983;0
1;Argélia;1983;0
2;Argentina;1983;864456
3;Brasil;1983;0
4;Chile;1983;922064
5;Colômbia;1983;59690
6;Egito;1983;0
7;Espanha;1983;0
8;Estados Unidos;1983;14910
9;Grécia;1983;0
10;Itália;1983;0
11;México;1983;0
12;Peru;1983;0
13;Paraguai;1983;0
14;Portugal;1983;0
15;Panamá;1983;0
16;Reino Unido;1983;0
17;Uruguai;1983;0
18;Venezuela;1983;0
19;Não consta na tabela;1983;0
20;Outros;1983;0
1;Argélia;1984;0
2;Argentina;1984;251900
3;Brasil;1984;0
4;Chile;1984;880497
5;Colômbia;1984;4500
6;Egito;1984;0
7;Espanha;1984;60000
8;Estados Unidos;1984;6490
9;Grécia;1984;0
10;Itália;1984;0
11;México;1984;0
12;Peru;1984;0
13;Paraguai;1984;0
14;Portugal;1984;0
15;Panamá;1984;0
16;Reino Unido;1984;0
17;Uruguai;1984;0
18;Venezuela;1984;0
19;Não consta na tabela;1984;0
20;Outros;1984;0
1;Argélia;1984;0
2;Argentina;1984;146965
3;Brasil;1984;0
4;Chile;1984;695522
5;Colômbia;1984;5400
6;Egito;1984;0
7;Espanha;1984;24000
8;Estados Unidos;1984;10060
9;Grécia;1984;0
10;Itália;1984;0
11;México;1984;0
12;Peru;1984;0
13;Paraguai;1984;0
14;Portugal;1984;0
15;Panamá;1984;0
16;Reino Unido;1984;0
17;Uruguai;1984;0
18;Venezuela;1984;0
19;Não consta na tabela;1984;0
20;Outros;1984;0
1;Argélia;1985;0
2;Argentina;1985;208150
3;Brasil;1985;0
4;Chile;1985;598037
5;Colômbia;1985;0
6;Egito;1985;0
7;Espanha;1985;0
8;Estados Unidos;1985;5400
9;Grécia;1985;0
10;Itália;1985;0
11;México;1985;0
12;Peru;1985;0
13;Paraguai;1985;0
14;Portugal;1985;0
15;Panamá;1985;0
16;Reino Unido;1985;0
17;Uruguai;1985;0
18;Venezuela;1985;0
19;Não consta na tabela;1985;0
20;Outros;1985;0
1;Argélia;1985;0
2;Argentina;1985;125910
3;Brasil;1985;0
4;Chile;1985;424806
5;Colômbia;1985;0
6;Egito;1985;0
7;Espanha;1985;0
8;Estados Unidos;1985;9045
9;Grécia;1985;0
10;Itália;1985;0
11;México;1985;0
12;Peru;1985;0
13;Paraguai;1985;0
14;Portugal;1985;0
15;Panamá;1985;0
16;Reino Unido;1985;0
17;Uruguai;1985;0
18;Venezuela;1985;0
19;Não consta na tabela;1985;0
20;Outros;1985;0
1;Argélia;1986;0
2;Argentina;1986;267240
3;Brasil;1986;0
4;Chile;1986;1757520
5;Colômbia;1986;0
6;Egito;1986;0
7;Espanha;1986;0
8;Estados Unidos;1986;10800
9;Grécia;1986;0
10;Itália;1986;0
11;México;1986;0
12;Peru;1986;0
13;Paraguai;1986;0
14;Portugal;1986;0
15;Panamá;1986;0
16;Reino Unido;1986;0
17;Uruguai;1986;0
18;Venezuela;1986;0
19;Não consta na tabela;1986;0
20;Outros;1986;0
1;Argélia;1986;0
2;Argentina;1986;189890
3;Brasil;1986;0
4;Chile;1986;1237918
5;Colômbia;1986;0
6;Egito;1986;0
7;Espanha;1986;0
8;Estados Unidos;1986;18630
9;Grécia;1986;0
10;Itália;1986;0
11;México;1986;0
12;Peru;1986;0
13;Paraguai;1986;0
14;Portugal;1986;0
15;Panamá;1986;0
16;Reino Unido;1986;0
17;Uruguai;1986;0
18;Venezuela;1986;0
19;Não consta na tabela;1986;0
20;Outros;1986;0
