id;control;cultivar;ano;Quantidade (Kg)
8;ti_BRS Magna;BRS Magna;1974;0
9;ti_BRS Margot;BRS Margot;1974;0
10;ti_BRSMorena;BRS Morena;1974;0
29;ti_BRS Núbia ;BRS Núbia ;1974;0
11;ti_BRS Rúbea;BRS Rúbea;1974;0
12;ti_BRSVioleta;BRS Violeta;1974;0
13;ti_BRS Vitória;BRS Vitória;1974;0
15;ti_Champagnon(Champanheta);Champagnon (Champanheta);1974;0
16;ti_Coleções;Coleções;1974;0
17;ti_Concord;Concord;1974;5218933
18;ti_Concordclone30;Concord clone 30;1974;0
19;ti_Couderc;Couderc;1974;5057735
20;ti_Cynthiana(1);Cynthiana(1);1974;605039
21;ti_Herbemont;Herbemont;1974;65865189
22;ti_IAC138022;IAC 138022;1974;0
23;ti_Isabel;Isabel;1974;191946376
24;ti_IsabelPrecoce;Isabel Precoce;1974;0
25;ti_Jacquez;Jacquez;1974;847092
26;ti_Kyoko;Kyoko;1974;0
27;ti_Landot;Landot;1974;103456
28;ti_Mistura de uvas americanas tinto;Mistura de uvas americanas tinto;1974;0
29;ti_Oberlin;Oberlin;1974;47350
30;ti_Othello;Othello;1974;54730
31;ti_Paco;Paco;1974;0
32;ti_Patricia;Patricia;1974;0
33;ti_Seibel;Seibel;1974;12179223
34;ti_Seibel2(seibeleto);Seibel 2 (seibeleto);1974;0
35;ti_SeyveWillard(Tinta);Seyve Willard (Tinta);1974;0
36;ti_Vênus;Vênus;1974;0
37;BRANCASEROSADAS;BRANCAS E ROSADAS;1974;2865338
38;br_Baco;Baco;1974;0
39;br_Bokay;Bokay;1974;0
40;br_BRS Bibiana ;BRS Bibiana ;1974;0
41;br_BRSClara;BRS Clara;1974;0
42;br_BRSLorena;BRS Lorena;1974;0
43;br_Couderc13;Couderc 13;1974;0
44;br_Delaware;Delaware;1974;0
45;br_DonaZillá;Dona Zillá;1974;0
46;br_DutChess;Dut Chess;1974;0
47;br_Goethe;Goethe;1974;371399
48;br_IAC;IAC;1974;0
49;br_Juliana;Juliana;1974;0
50;br_Martha;Martha;1974;17486
51;br_Mistura de uvas americanas;Mistura de uvas americanas;1974;0
52;br_MoscatoEmbrapa;Moscato Embrapa;1974;0
53;br_Niagara;Niagara;1974;2476453
54;br_NiagaraBranca;Niagara Branca;1974;0
55;br_NiagaraRosada;Niagara Rosada;1974;0
56;br_Poloske;Poloske;1974;0
57;br_Seleções;Seleções;1974;0
58;br_SeyveVillard;Seyve Villard;1974;0
59;br_SeyveVillard5276;Seyve Villard 5276;1974;0
60;br_SeyveVillard12375;Seyve Villard 12375;1974;0
61;br_TardiadeCaxias;Tardia de Caxias;1974;0
62;br_Outras;Outras(2);1974;0
1;TINTAS;TINTAS;1975;282003228
2;ti_Bacarina;Bacarina;1975;101454
3;ti_Bailey;Bailey;1975;0
4;ti_Bordo;Bordo;1975;16023998
5;ti_Bourdin (S);Bourdin (S);1975;0
6;ti_BRSCarmen;BRS Carmen;1975;0
7;ti_BRSCora;BRS Cora;1975;0
8;ti_BRS Magna;BRS Magna;1975;0
9;ti_BRS Margot;BRS Margot;1975;0
10;ti_BRSMorena;BRS Morena;1975;0
29;ti_BRS Núbia ;BRS Núbia ;1975;0
11;ti_BRS Rúbea;BRS Rúbea;1975;0
12;ti_BRSVioleta;BRS Violeta;1975;0
13;ti_BRS Vitória;BRS Vitória;1975;0
15;ti_Champagnon(Champanheta);Champagnon (Champanheta);1975;0
16;ti_Coleções;Coleções;1975;0
17;ti_Concord;Concord;1975;7361018
18;ti_Concordclone30;Concord clone 30;1975;0
19;ti_Couderc;Couderc;1975;4052782
20;ti_Cynthiana(1);Cynthiana(1);1975;544666
21;ti_Herbemont;Herbemont;1975;48754240
22;ti_IAC138022;IAC 138022;1975;0
23;ti_Isabel;Isabel;1975;193394592
24;ti_IsabelPrecoce;Isabel Precoce;1975;0
25;ti_Jacquez;Jacquez;1975;513846
26;ti_Kyoko;Kyoko;1975;0
27;ti_Landot;Landot;1975;104110
28;ti_Mistura de uvas americanas tinto;Mistura de uvas americanas tinto;1975;0
29;ti_Oberlin;Oberlin;1975;17264
30;ti_Othello;Othello;1975;53172
31;ti_Paco;Paco;1975;0
32;ti_Patricia;Patricia;1975;0
33;ti_Seibel;Seibel;1975;11082086
34;ti_Seibel2(seibeleto);Seibel 2 (seibeleto);1975;0
35;ti_SeyveWillard(Tinta);Seyve Willard (Tinta);1975;0
36;ti_Vênus;Vênus;1975;0
37;BRANCASEROSADAS;BRANCAS E ROSADAS;1975;2717527
38;br_Baco;Baco;1975;2610
39;br_Bokay;Bokay;1975;0
40;br_BRS Bibiana ;BRS Bibiana ;1975;0
41;br_BRSClara;BRS Clara;1975;0
42;br_BRSLorena;BRS Lorena;1975;0
43;br_Couderc13;Couderc 13;1975;0
44;br_Delaware;Delaware;1975;0
45;br_DonaZillá;Dona Zillá;1975;0
46;br_DutChess;Dut Chess;1975;0
47;br_Goethe;Goethe;1975;280190
48;br_IAC;IAC;1975;0
49;br_Juliana;Juliana;1975;0
50;br_Martha;Martha;1975;13578
51;br_Mistura de uvas americanas;Mistura de uvas americanas;1975;0
52;br_MoscatoEmbrapa;Moscato Embrapa;1975;0
53;br_Niagara;Niagara;1975;2409319
54;br_NiagaraBranca;Niagara Branca;1975;0
55;br_NiagaraRosada;Niagara Rosada;1975;0
56;br_Poloske;Poloske;1975;0
57;br_Seleções;Seleções;1975;0
58;br_SeyveVillard;Seyve Villard;1975;11830
59;br_SeyveVillard5276;Seyve Villard 5276;1975;0
60;br_SeyveVillard12375;Seyve Villard 12375;1975;0
61;br_TardiadeCaxias;Tardia de Caxias;1975;0
62;br_Outras;Outras(2);1975;0
1;TINTAS;TINTAS;1976;222289729
2;ti_Bacarina;Bacarina;1976;57297
3;ti_Bailey;Bailey;1976;0
4;ti_Bordo;Bordo;1976;12725233
5;ti_Bourdin (S);Bourdin (S);1976;0
